prime,A,x0,trials
177723199,124204186,91277840,213
177723199,61133280,116403011,1257
177723199,18840444,38190935,2283
177723199,149664121,18052725,1616
177723199,59106126,73304175,738
180979103,169730446,154742792,6974
180979103,154942057,99820640,1713
180979103,127271088,95684542,211
180979103,103861385,72946298,1542
180979103,9173938,4859,2261
182646001,64907225,4674103,1511
182646001,11177917,77715128,4017
182646001,60943615,72916085,129
182646001,71084706,178327553,347
182646001,165249189,135415189,2139
