prime,A,x0,time_seconds
49499,6047,45702,0.001911
72763,34865,64984,0.005279
57383,35871,19787,0.000097
85577,71877,42014,0.001559
80341,42422,31069,0.000294
50111,44066,24879,0.000290
42751,33315,8433,0.000308
81611,79607,11575,0.000762
52813,2871,28695,0.000021
49169,16283,13248,0.000453
72973,59640,12649,0.000526
34501,13124,14474,0.000390
21481,9559,13791,0.000515
62129,29593,18218,0.000541
59221,23657,39756,0.000412
66457,18052,48423,0.001376
66587,46428,38932,0.000488
17599,9822,8087,0.000317
78173,30687,61027,0.000404
80819,33828,494,0.000665
36527,32626,3349,0.000189
53407,10931,2953,0.001719
54163,1463,19070,0.001368
39841,39488,1660,0.001636
59863,44316,42410,0.001120
70501,39584,19068,0.000025
35311,7029,10832,0.002783
38861,10593,4980,0.000260
13367,2381,6582,0.000026
26263,20122,3166,0.000344
52259,20918,34492,0.001329
79481,46344,39885,0.001221
46919,30615,6392,0.000400
10477,5543,634,0.000495
31687,9041,27857,0.002492
16087,8007,11376,0.000189
21863,7177,20548,0.000236
47533,17827,8062,0.003301
67057,23940,52318,0.003031
30937,9823,17984,0.000633
77801,4083,49340,0.000942
64279,35618,32784,0.000398
57791,10768,25589,0.000394
77141,46642,2340,0.002034
63499,18035,29631,0.000621
61967,37126,1262,0.000750
11903,5704,10246,0.000292
25717,8782,13709,0.000520
82279,30000,32447,0.000097
54377,34426,34698,0.000090
31307,8267,20675,0.001364
93323,70801,39024,0.001936
22109,17390,14378,0.000476
87181,53815,66327,0.000925
30931,5736,29295,0.000173
53281,15093,26277,0.000271
58189,7746,30108,0.001075
13163,1156,12849,0.001552
54293,27445,49773,0.000921
93811,81064,74909,0.002937
38299,5930,31189,0.000546
59951,20220,2078,0.000429
49411,4885,41265,0.000006
20663,9757,20017,0.000126
48817,38865,12821,0.000736
99733,76169,44604,0.005586
19577,3851,14852,0.001793
69911,54929,55586,0.000109
22871,17508,5084,0.000299
11311,7528,795,0.000018
91957,72959,23559,0.000034
31469,24138,21404,0.000916
13613,2118,2487,0.000383
72763,34865,64984,0.003934
66701,6690,42987,0.003227
80567,21774,75794,0.001789
47653,37685,10932,0.000356
58379,24345,7569,0.000236
37423,34106,17482,0.000460
60919,41768,1360,0.000638
59233,17998,24053,0.001153
65497,60341,50728,0.000266
38459,16944,1304,0.000033
57373,51841,48194,0.000445
76303,64529,73888,0.001557
83969,11716,66909,0.000051
11321,1540,9672,0.000024
31547,30822,3374,0.001093
67679,15404,29400,0.000191
96221,16565,18195,0.002516
60037,8653,46529,0.000703
37571,21410,22418,0.000402
91639,35656,47001,0.001029
11251,9399,2632,0.000019
39799,28479,39601,0.000272
44579,39634,39033,0.001281
45869,1393,33582,0.000103
66103,426,47303,0.001569
20269,9460,13418,0.000489
59779,865,28779,0.000013
