Interval_ID,Start,End,Valid_Triplets,Rejections,Rejection_Rate
1,1000,1100,1,0,0.0
2,1101,1211,1,1,100.0
3,1212,1333,1,1,100.0
4,1334,1467,1,0,0.0
5,1468,1614,1,0,0.0
6,1615,1776,1,0,0.0
7,1777,1954,1,0,0.0
8,1955,2150,1,0,0.0
9,2151,2366,1,0,0.0
10,2367,2603,1,0,0.0
11,2604,2864,1,0,0.0
12,2865,3151,1,0,0.0
13,3152,3467,1,1,100.0
14,3468,3814,1,0,0.0
15,3815,4196,1,1,100.0
16,4197,4616,1,0,0.0
17,4617,5078,1,0,0.0
18,5079,5586,1,0,0.0
19,5587,6145,1,0,0.0
20,6146,6760,1,0,0.0
21,6761,7437,1,0,0.0
22,7438,8181,1,0,0.0
23,8182,9000,1,0,0.0
24,9001,9901,1,0,0.0
25,9902,9999,1,0,0.0
GLOBAL_SUMMARY,ALL,ALL,25,4,16.0
