prime,target_n,total_trials,p_exact,p_hat,relative_error_percent
257,20,90,0.196078431372549,0.2222222222222222,13.3333
293,20,109,0.1580756013745704,0.1834862385321101,16.075
353,20,124,0.1823361823361823,0.16129032258064516,11.5423
509,20,127,0.1183431952662721,0.15748031496062992,33.0709
523,20,95,0.0806142034548944,0.21052631578947367,161.1529
557,20,219,0.0936936936936937,0.091324200913242,2.529
587,20,253,0.0888888888888888,0.07905138339920949,11.0672
613,20,222,0.1112929623567921,0.09009009009009009,19.0514
683,20,182,0.1027900146842878,0.10989010989010989,6.9074
823,20,296,0.0633373934226552,0.06756756756756757,6.6788
1213,20,236,0.0875309661436829,0.0847457627118644,3.182
1423,20,111,0.1632653061224489,0.18018018018018017,10.3604
1579,20,123,0.1420418516169942,0.16260162601626016,14.4744
1613,20,255,0.079453755431409,0.0784313725490196,1.2868
3467,20,348,0.0467532467532467,0.05747126436781609,22.9246
5641,20,364,0.068097180351126,0.054945054945054944,19.3138
5923,20,271,0.0719473061982773,0.07380073800738007,2.5761
6173,20,261,0.0823205315183924,0.07662835249042145,6.9147
9643,20,434,0.0628565501503993,0.04608294930875576,26.6855
9781,20,642,0.0458124552612741,0.03115264797507788,31.9996
21013,20,1414,0.0156108704964066,0.014144271570014143,9.3947
34141,20,881,0.0228477694132809,0.022701475595913734,0.6403
45979,20,489,0.0306675076668769,0.0408997955010225,33.3652
46957,20,1023,0.0231711212863379,0.019550342130987292,15.6263
48281,20,1121,0.0218314380993806,0.01784121320249777,18.2774
56857,20,7155,0.0025327587723155,0.002795248078266946,10.3638
57713,20,2512,0.0099807662317409,0.007961783439490446,20.2287
60917,20,5927,0.0039399162767791,0.0033743883921039312,14.3538
63353,20,1394,0.0136383008950134,0.014347202295552367,5.1979
65287,20,1434,0.0162365014934517,0.01394700139470014,14.1009
